offer,candidates,link_offer
Visitors Services Coordination Unit - Post C: Visitors communications event assistant,55,https://ep-stages.gestmax.eu/3088/1/visitors-services-coordination-unit-post-c-visitors-communications-event-assistant/en_US?backlink=search
Visitors Services Coordination Unit - Post B: Visitors communications marketing assistant ,27,https://ep-stages.gestmax.eu/3087/1/visitors-services-coordination-unit-post-b-visitors-communications-marketing-assistant/en_US?backlink=search
Visitors Services Coordination Unit - Post A: Visitors communications assistant,26,https://ep-stages.gestmax.eu/3086/1/visitors-services-coordination-unit-post-a-visitors-communications-assistant/en_US?backlink=search
Conference Infrastructure and Innovation Unit - Multilingual Remote Meetings Service - Post D,11,https://ep-stages.gestmax.eu/3085/1/conference-infrastructure-and-innovation-unit-multilingual-remote-meetings-service-post-d/en_US?backlink=search
Conference Infrastructure and Innovation Unit - Multilingual Remote Meetings Service - Post C,7,https://ep-stages.gestmax.eu/3084/1/conference-infrastructure-and-innovation-unit-multilingual-remote-meetings-service-post-c/en_US?backlink=search
Conference Infrastructure and Innovation Unit - Multilingual Remote Meetings Service  - Post B,6,https://ep-stages.gestmax.eu/3083/1/conference-infrastructure-and-innovation-unit-multilingual-remote-meetings-service-post-b/en_US?backlink=search
Conference Infrastructure and Innovation Unit - Multilingual Remote Meetings Service - Post A,5,https://ep-stages.gestmax.eu/3082/1/conference-infrastructure-and-innovation-unit-multilingual-remote-meetings-service-post-a/en_US?backlink=search
Programming Unit ,12,https://ep-stages.gestmax.eu/3081/1/programming-unit/en_US?backlink=search
Conference Coordination Unit  - Post B,12,https://ep-stages.gestmax.eu/3080/1/conference-coordination-unit-post-b/en_US?backlink=search
Multilingualism and Succession Planning Unit - Post B: Multilingualism Support,25,https://ep-stages.gestmax.eu/3079/1/multilingualism-and-succession-planning-unit-post-b-multilingualism-support/en_US?backlink=search
Request Management Unit - Post B,7,https://ep-stages.gestmax.eu/3078/1/request-management-unit-post-b/en_US?backlink=search
FMS Competence Centre Unit,7,https://ep-stages.gestmax.eu/3077/1/fms-competence-centre-unit/en_US?backlink=search
Information Technology and e-Portal Unit,4,https://ep-stages.gestmax.eu/3076/1/information-technology-and-e-portal-unit/en_US?backlink=search
Human Resources Unit ,29,https://ep-stages.gestmax.eu/3075/1/human-resources-unit/en_US?backlink=search
Budgetary Policies Unit,13,https://ep-stages.gestmax.eu/3074/1/budgetary-policies-unit/en_US?backlink=search
Economic Policies Unit ,20,https://ep-stages.gestmax.eu/3073/1/economic-policies-unit/en_US?backlink=search
Ex-Post Evaluation Unit ,24,https://ep-stages.gestmax.eu/3072/1/ex-post-evaluation-unit/en_US?backlink=search
European Council Oversight Unit,24,https://ep-stages.gestmax.eu/3071/1/european-council-oversight-unit/en_US?backlink=search
Citizens' Library Unit,12,https://ep-stages.gestmax.eu/3070/1/citizens-library-unit/en_US?backlink=search
Comparative Law Library Unit - Post A,11,https://ep-stages.gestmax.eu/3069/1/comparative-law-library-unit-post-a/en_US?backlink=search
Linking the Levels Unit - Post B,21,https://ep-stages.gestmax.eu/3068/1/linking-the-levels-unit-post-b/en_US?backlink=search
Information Technology and e-Portal Unit / Travel Management Unit,4,https://ep-stages.gestmax.eu/3067/1/information-technology-and-e-portal-unit-travel-management-unit/en_US?backlink=search
Linking the Levels Unit - Post A,19,https://ep-stages.gestmax.eu/3066/1/linking-the-levels-unit-post-a/en_US?backlink=search
Comparative Law Library Unit - Post B,10,https://ep-stages.gestmax.eu/3065/1/comparative-law-library-unit-post-b/en_US?backlink=search
Digital Library Unit,5,https://ep-stages.gestmax.eu/3064/1/digital-library-unit/en_US?backlink=search
External Policies Unit ,105,https://ep-stages.gestmax.eu/3063/1/external-policies-unit/en_US?backlink=search
MEPs' Portal Unit - Post C,5,https://ep-stages.gestmax.eu/3062/1/meps-portal-unit-post-c/en_US?backlink=search
Facilities Management Unit,3,https://ep-stages.gestmax.eu/3061/1/facilities-management-unit/en_US?backlink=search
MEPs' Portal Unit - Post B,6,https://ep-stages.gestmax.eu/3060/1/meps-portal-unit-post-b/en_US?backlink=search
Ex-Ante Impact Assessment Unit,15,https://ep-stages.gestmax.eu/3059/1/ex-ante-impact-assessment-unit/en_US?backlink=search
Scientific Foresight  Unit - Post A,9,https://ep-stages.gestmax.eu/3058/1/scientific-foresight-unit-post-a/en_US?backlink=search
European Added Value Unit ,28,https://ep-stages.gestmax.eu/3057/1/european-added-value-unit/en_US?backlink=search
Citizens' Enquiries Unit (AskEP),8,https://ep-stages.gestmax.eu/3056/1/citizens-enquiries-unit-askep/en_US?backlink=search
Directorate for Members' Financial and Social Entitlements ,5,https://ep-stages.gestmax.eu/3055/1/directorate-for-members-financial-and-social-entitlements/en_US?backlink=search
Information Technology  Unit ,8,https://ep-stages.gestmax.eu/3054/1/information-technology-unit/en_US?backlink=search
Citizens' Policies Unit ,10,https://ep-stages.gestmax.eu/3053/1/citizens-policies-unit/en_US?backlink=search
Members' Travel and Subsistence Expenses Unit - Post B,4,https://ep-stages.gestmax.eu/3052/1/members-travel-and-subsistence-expenses-unit-post-b/en_US?backlink=search
Members' Travel and Subsistence Expenses Unit - Post A,5,https://ep-stages.gestmax.eu/3051/1/members-travel-and-subsistence-expenses-unit-post-a/en_US?backlink=search
MEPs' Portal Unit - Post A,5,https://ep-stages.gestmax.eu/3050/1/meps-portal-unit-post-a/en_US?backlink=search
 Library Reading Room Unit,5,https://ep-stages.gestmax.eu/3049/1/library-reading-room-unit/en_US?backlink=search
Scientific Foresight Unit -  Post B,3,https://ep-stages.gestmax.eu/3048/1/scientific-foresight-unit-post-b/en_US?backlink=search
Strategy and Innovation Unit ,17,https://ep-stages.gestmax.eu/3047/1/strategy-and-innovation-unit/en_US?backlink=search
Strategic Foresight and Capabilities Unit - Post B: Events and outreach,5,https://ep-stages.gestmax.eu/3046/1/strategic-foresight-and-capabilities-unit-post-b-events-and-outreach/en_US?backlink=search
Human Resources and Organisation Unit,7,https://ep-stages.gestmax.eu/3045/1/human-resources-and-organisation-unit/en_US?backlink=search
Strategic Foresight and Capabilities Unit - Post A: Research,16,https://ep-stages.gestmax.eu/3044/1/strategic-foresight-and-capabilities-unit-post-a-research/en_US?backlink=search
Central Financial Unit,10,https://ep-stages.gestmax.eu/3043/1/central-financial-unit-eu-public-finance-and-public-procurement/en_US?backlink=search
Procurement Service,5,https://ep-stages.gestmax.eu/3042/1/service-marches-publics/en_US?backlink=search
Web Communication Unit - Post G: Social Media producer,27,https://ep-stages.gestmax.eu/3041/1/web-communication-unit-post-g-social-media-producer/en_US?backlink=search
Web Communication Unit - Post F: Web editor,22,https://ep-stages.gestmax.eu/3040/1/web-communication-unit-post-f-web-editor/en_US?backlink=search
Web Communication Unit - Post E: Slovak language editor,3,https://ep-stages.gestmax.eu/3039/1/web-communication-unit-post-e-slovak-language-editor/en_US?backlink=search
Web Communication Unit - Post D: Greek language editor,8,https://ep-stages.gestmax.eu/3038/1/web-communication-unit-post-d-greek-language-editor/en_US?backlink=search
Web Communication Unit - Post C: Swedish language editor,3,https://ep-stages.gestmax.eu/3037/1/web-communication-unit-post-c-swedish-language-editor/en_US?backlink=search
Web Communication Unit - Post B: Latvian language editor,1,https://ep-stages.gestmax.eu/3036/1/web-communication-unit-post-b-latvian-language-editor/en_US?backlink=search
Parliamentary Assistance and Members' General Expenditure Unit - Post C: Innovation and Development (Outreach),9,https://ep-stages.gestmax.eu/3035/1/parliamentary-assistance-and-members-general-expenditure-unit-post-c-innovation-and-development/en_US?backlink=search
Traineeship at Web Communication Unit - Post A: Estonian language editor,1,https://ep-stages.gestmax.eu/3034/1/web-communication-unit-post-a-estonian-language-editor/en_US?backlink=search
Travel Management Unit,9,https://ep-stages.gestmax.eu/3033/1/travel-management-unit/en_US?backlink=search
Director-General for Finance,3,https://ep-stages.gestmax.eu/3032/1/director-general-for-finance/en_US?backlink=search
Parliamentary Assistance and Members' General Expenditure Unit - Post B: Financial Team,5,https://ep-stages.gestmax.eu/3031/1/parliamentary-assistance-and-members-general-expenditure-unit-post-b-financial-team/en_US?backlink=search
Webmaster Unit - Post B,6,https://ep-stages.gestmax.eu/3030/1/l-unite-de-la-gestion-du-site-web-poste-b/en_US?backlink=search
Parliamentary Assistance and Members' General Expenditure Unit - Post A: Financial Team,4,https://ep-stages.gestmax.eu/3029/1/parliamentary-assistance-and-members-general-expenditure-unit-post-a-financial-team/en_US?backlink=search
Structural Policies Unit ,16,https://ep-stages.gestmax.eu/3028/1/structural-policies-unit/en_US?backlink=search
Directorate-General for Parliamentary Reserach Services,15,https://ep-stages.gestmax.eu/3027/1/directorate-general-for-parliamentary-reserach-services/en_US?backlink=search
Webmaster Unit - Post A,1,https://ep-stages.gestmax.eu/3026/1/webmaster-unit-post-a/en_US?backlink=search
Legislative Dialogue Unit ,4,https://ep-stages.gestmax.eu/3025/1/legislative-dialogue-unit/en_US?backlink=search
Secretariat of the EP Delegation to the Conference on the Future of Europe,14,https://ep-stages.gestmax.eu/3024/1/secretariat-of-the-ep-delegation-to-the-conference-on-the-future-of-europe/en_US?backlink=search
Civil Society Outreach Unit: Post C,9,https://ep-stages.gestmax.eu/3023/1/civil-society-outreach-unit-post-c/en_US?backlink=search
Civil Society Outreach Unit: Post B,3,https://ep-stages.gestmax.eu/3022/1/civil-society-outreach-unit-post-b/en_US?backlink=search
Luxembourg and Strasbourg Major Construction Projects Unit,1,https://ep-stages.gestmax.eu/3021/1/luxembourg-and-strasbourg-major-construction-projects-unit/en_US?backlink=search
Civil Society Outreach Unit - Post A,4,https://ep-stages.gestmax.eu/3020/1/civil-society-outreach-unit-post-a/en_US?backlink=search
Concept and Design Unit - Post B: Assistant strategic planner/marketing officer,12,https://ep-stages.gestmax.eu/3019/1/concept-and-design-unit-post-b-assistant-strategic-planner-marketing-officer/en_US?backlink=search
Concept and Design Unit - Post A: Graphic designer,7,https://ep-stages.gestmax.eu/3018/1/concept-and-design-unit-post-a-graphic-designer/en_US?backlink=search
Subtitling and Voice Over Unit - Post A,17,https://ep-stages.gestmax.eu/3016/1/subtitling-and-voice-over-unit-post-a/en_US?backlink=search
Subtitling and Voice Over Unit - Post D: Dutch,3,https://ep-stages.gestmax.eu/3015/1/subtitling-and-voice-over-unit-post-d-dutch/en_US?backlink=search
Subtitling and Voice Over Unit - Post C,14,https://ep-stages.gestmax.eu/3014/1/subtitling-and-voice-over-unit-post-c/en_US?backlink=search
Subtitling and Voice Over Unit - Post B,16,https://ep-stages.gestmax.eu/3013/1/subtitling-and-voice-over-unit-post-b/en_US?backlink=search
Directorate for Resources - Legal - Data protection,29,https://ep-stages.gestmax.eu/3012/1/directorate-for-resources-legal-data-protection/en_US?backlink=search
Swedish Translation Unit - Post B,1,https://ep-stages.gestmax.eu/3011/1/swedish-translation-unit-post-b/en_US?backlink=search
Swedish Translation Unit - Post A,2,https://ep-stages.gestmax.eu/3010/1/swedish-translation-unit-post-a/en_US?backlink=search
Budget Unit,13,https://ep-stages.gestmax.eu/3009/1/budget-unit/en_US?backlink=search
Learning and Development Unit - Post C: Learn.LINGUA sector,6,https://ep-stages.gestmax.eu/3008/1/learning-and-development-unit-post-c-learn-lingua-sector/en_US?backlink=search
Accounting and Treasury Unit - Post B: Inventory/Accounting,13,https://ep-stages.gestmax.eu/3007/1/accounting-and-treasury-unit-post-b-inventory-accounting/en_US?backlink=search
Medical Leave Service,4,https://ep-stages.gestmax.eu/3006/1/medical-leave-service/en_US?backlink=search
Staff Front Office Unit: Post B - Privileges and Immunities Section,6,https://ep-stages.gestmax.eu/3005/1/staff-front-office-post-b-p-i/en_US?backlink=search
Accounting and Treasury Unit - Post A: Treasury,12,https://ep-stages.gestmax.eu/3004/1/accounting-and-treasury-unit-post-a-treasury/en_US?backlink=search
Strasbourg Conference and Visitor Services Unit - Post A: Public relations,12,https://ep-stages.gestmax.eu/3003/1/strasbourg-conference-and-visitor-services-unit-post-a-public-relations/en_US?backlink=search
Strasbourg Conference and Visitor Services Unit - Post B: Public Relations,13,https://ep-stages.gestmax.eu/3002/1/strasbourg-conference-and-visitor-services-unit-post-b-public-relations/en_US?backlink=search
Spanish Translation Unit - Post B,32,https://ep-stages.gestmax.eu/3001/1/spanish-translation-unit-post-b/en_US?backlink=search
Spanish Translation Unit - Post A,35,https://ep-stages.gestmax.eu/3000/1/spanish-translation-unit-post-a/en_US?backlink=search
Strasbourg Conference and Visitor Services Unit - Post C: Social media,10,https://ep-stages.gestmax.eu/2999/1/strasbourg-conference-and-visitor-services-unit-post-c-social-media/en_US?backlink=search
Staff Front Office Unit: Post A - Info Desk Section,11,https://ep-stages.gestmax.eu/2998/1/staff-front-office-post-a-info-desk/en_US?backlink=search
Individual Entitlements Unit,3,https://ep-stages.gestmax.eu/2997/1/unite-droits-individuels/en_US?backlink=search
House of European History - Post B: Learning team,11,https://ep-stages.gestmax.eu/2996/1/house-of-european-history-post-b-learning-outreach-team/en_US?backlink=search
Strategic HR Planning Unit,13,https://ep-stages.gestmax.eu/2995/1/strategic-hr-planning-unit/en_US?backlink=search
Talent Selection Unit,12,https://ep-stages.gestmax.eu/2994/1/talent-selection-unit/en_US?backlink=search
House of European History - Post A: Communications & Partnerships team,15,https://ep-stages.gestmax.eu/2993/1/house-of-european-history-post-a-communications-partnerships-team/en_US?backlink=search
 Comité du Personnel du Parlement européen - Poste B,4,https://ep-stages.gestmax.eu/2992/1/comite-du-personnel-du-parlement-europeen-poste-b/fr_FR?backlink=search
Comité du Personnel du Parlement européen - Poste A,2,https://ep-stages.gestmax.eu/2991/1/comite-du-personnel-du-parlement-europeen-poste-a/fr_FR?backlink=search
Slovene Translation Unit - Post A,0,https://ep-stages.gestmax.eu/2990/1/slovene-translation-unit-post-a/en_US?backlink=search
Slovene Translation Unit - Post B,0,https://ep-stages.gestmax.eu/2989/1/slovene-translation-unit-post-b/en_US?backlink=search
Data Protection Service,7,https://ep-stages.gestmax.eu/2988/1/data-protection-service/en_US?backlink=search
Slovak Translation Unit - Post B,3,https://ep-stages.gestmax.eu/2987/1/slovak-translation-unit-post-b/en_US?backlink=search
Slovak Translation Unit - Post A,2,https://ep-stages.gestmax.eu/2986/1/slovak-translation-unit-post-a/en_US?backlink=search
Business Continuity Management Unit,7,https://ep-stages.gestmax.eu/2985/1/business-continuity-management-unit/en_US?backlink=search
Romanian Translation Unit - Post B,7,https://ep-stages.gestmax.eu/2984/1/romanian-translation-unit-post-b/en_US?backlink=search
Romanian Translation Unit - Post A,9,https://ep-stages.gestmax.eu/2983/1/romanian-translation-unit-post-a/en_US?backlink=search
Quality Coordination Unit,9,https://ep-stages.gestmax.eu/2982/1/quality-coordination-unit/en_US?backlink=search
Polish Translation Unit - Post A,3,https://ep-stages.gestmax.eu/2981/1/polish-translation-unit-post-a/en_US?backlink=search
Polish Translation Unit - Post B,2,https://ep-stages.gestmax.eu/2980/1/polish-translation-unit-post-b/en_US?backlink=search
Planning Unit,7,https://ep-stages.gestmax.eu/2979/1/planning-unit/en_US?backlink=search
European Parliament Liaison Office in Cyprus - Post A,6,https://ep-stages.gestmax.eu/2978/1/european-parliament-liaison-office-in-cyprus-post-a/en_US?backlink=search
European Parliament Liaison Office in Cyprus - Post B,7,https://ep-stages.gestmax.eu/2977/1/european-parliament-liaison-office-in-cyprus-post-b/en_US?backlink=search
Multilingualism and External Relations Unit - Post B,12,https://ep-stages.gestmax.eu/2976/1/multilingualism-and-external-relations-unit-post-b/en_US?backlink=search
Multilingualism and External Relations Unit - Post A,23,https://ep-stages.gestmax.eu/2975/1/multilingualism-and-external-relations-unit-post-a/en_US?backlink=search
My House of European History - Post C,5,https://ep-stages.gestmax.eu/2974/1/my-house-of-european-history-post-c/en_US?backlink=search
My House of European History - Post B,5,https://ep-stages.gestmax.eu/2973/1/my-house-of-european-history-post-b/en_US?backlink=search
My House of European History - Post A,4,https://ep-stages.gestmax.eu/2972/1/my-house-of-european-history-post-a/en_US?backlink=search
Visits and Seminars Unit - POST D: Coordination sector,5,https://ep-stages.gestmax.eu/2971/1/visits-and-seminars-unit-post-d-coordination-sector/en_US?backlink=search
Visits and Seminars Unit - POST C:  Dutch-speaking sector,3,https://ep-stages.gestmax.eu/2970/1/visits-and-seminars-unit-post-c-dutch-speaking-sector/en_US?backlink=search
Visits and Seminar Unit - POST B:  German-speaking sector,3,https://ep-stages.gestmax.eu/2969/1/visits-and-seminars-unit-post-b-german-speaking-sector/en_US?backlink=search
Audiovisual Unit - Post D:  Europe by Satellite Service,6,https://ep-stages.gestmax.eu/2968/1/audiovisual-unit-post-d-europe-by-satellite-service/en_US?backlink=search
Audiovisual Unit - Post C:  Europe by Satellite Service,5,https://ep-stages.gestmax.eu/2967/1/audiovisual-unit-post-c-europe-by-satellite-service/en_US?backlink=search
Visits and Seminars Unit - POST A: French-speaking sector,3,https://ep-stages.gestmax.eu/2966/1/visits-and-seminars-unit-post-a-french-speaking-sector/en_US?backlink=search
Conference Coordination Unit  - Post A,4,https://ep-stages.gestmax.eu/2965/1/conference-coordination-unit-post-a/en_US?backlink=search
Archives Unit,6,https://ep-stages.gestmax.eu/2964/1/archives-unit/en_US?backlink=search
European Parliament Liaison Office in Croatia - Post B,6,https://ep-stages.gestmax.eu/2963/1/european-parliament-liaison-office-in-croatia-post-b/en_US?backlink=search
Eco-management and audit scheme Unit (EMAS),5,https://ep-stages.gestmax.eu/2962/1/eco-management-and-audit-scheme-unit-emas/en_US?backlink=search
European Parliament Liaison Office in Croatia - Post A,9,https://ep-stages.gestmax.eu/2961/1/european-parliament-liaison-office-in-croatia-post-a/en_US?backlink=search
European Union Visitors Programme,32,https://ep-stages.gestmax.eu/2960/1/european-union-visitors-programme/en_US?backlink=search
European Parliament Liaison Office in Romania,13,https://ep-stages.gestmax.eu/2959/1/european-parliament-liaison-office-in-romania/en_US?backlink=search
Conference Usher Unit,4,https://ep-stages.gestmax.eu/2958/1/conference-ushers-unit/en_US?backlink=search
 Risk Assessment Unit - Poste B,15,https://ep-stages.gestmax.eu/2957/1/unite-de-l-evaluation-des-risques-poste-b/en_US?backlink=search
Conference Technicians Unit ,2,https://ep-stages.gestmax.eu/2956/1/conference-technicians-unit/en_US?backlink=search
Risk Assessment Unit - Poste A,17,https://ep-stages.gestmax.eu/2955/1/unite-de-l-evaluation-des-risques-poste-a/en_US?backlink=search
Personnel and planning unit,5,https://ep-stages.gestmax.eu/2954/1/unite-du-personnel-et-de-la-planification/en_US?backlink=search
Facilities Management Unit,6,https://ep-stages.gestmax.eu/2953/1/facilities-management-unit/en_US?backlink=search
Dispatching unit,2,https://ep-stages.gestmax.eu/2952/1/unite-du-dispatching/en_US?backlink=search
Security and Safety Luxembourg Unit,5,https://ep-stages.gestmax.eu/2951/1/unite-securite-et-surete-luxembourg/en_US?backlink=search
Accreditation Unit,2,https://ep-stages.gestmax.eu/2950/1/unite-de-l-accreditation/en_US?backlink=search
Information Technology and  IT Support Unit,5,https://ep-stages.gestmax.eu/2949/1/information-technology-and-it-support-unit/en_US?backlink=search
Directorate-General for Security and Safety,3,https://ep-stages.gestmax.eu/2948/1/direction-generale-de-la-securite-et-de-la-protection/en_US?backlink=search
"Secretariat of the Committee on Civil Liberties, Justice and Home Affairs - Post C",33,https://ep-stages.gestmax.eu/2947/1/secretariat-of-the-committee-on-civil-liberties-justice-and-home-affairs-post-c/en_US?backlink=search
"Secretariat of the Committee on Civil Liberties, Justice and Home Affairs - Post B",24,https://ep-stages.gestmax.eu/2946/1/secretariat-of-the-committee-on-civil-liberties-justice-and-home-affairs-post-b/en_US?backlink=search
"Secretariat of the Committee on Civil Liberties, Justice and Home Affairs - Post A",25,https://ep-stages.gestmax.eu/2945/1/secretariat-of-the-committee-on-civil-liberties-justice-and-home-affairs-post-a/en_US?backlink=search
